,PH,TTP,AUC,MTT,Max_Df,BAT,PH_Frame,AUC0.5,AUC1,AUC1.5,AUC2.0
ANY_153,18.487676753025625,5.4,92.36021373469818,5.2,1.4080952115399143,0.7000000000000001,16,32.298084908184165,79.85124969095962,92.31456522701134,92.31456522701134
ANY_177,9.597884883180352,2.3000000000000003,49.087562260279505,5.9,1.4202569329118382,1.3,7,22.679022080539333,45.784705784185384,49.065660935368385,49.065660935368385
ANY_390,7.503937681922345,3.5,47.734997218949516,7.1,0.8408359351051964,1.1,11,21.215005919131894,44.9764004011056,47.72634731841322,47.72634731841322
ANY_128,11.759984653005361,2.5,46.94179918354274,4.5,1.6152990684115782,0.7000000000000001,8,20.76443941901109,41.67591660506707,46.906924293465714,46.906924293465714
ANY_194,4.0767273534097335,4.800000000000001,13.945540830522496,3.6000000000000005,0.4248636645598738,0.1,14,0.9352916251485405,6.638456731976482,13.600632728950703,13.92938550022156
ANY_395,0.0,,0.0,7.800000000000001,,,,,,,
ANY_338,2.7982211085047997,3.7,11.939369343789346,4.6000000000000005,0.4960150185680378,1.7000000000000002,11,5.460995638890339,11.155420523087345,11.947334143323465,11.947334143323465
ANY_364,7.5345118513803495,9.600000000000001,47.55795989743948,6.800000000000001,0.4972725517876415,2.0,20,17.963676722693556,41.770970675147474,47.500611070381034,47.500611070381034
ANY_326,6.826962409855673,4.2,20.655076241016584,3.8,0.8476539021405796,1.7000000000000002,13,7.875483357905599,18.031356667484026,20.691718246394668,20.691718246394668
ANY_125,16.85237407699159,2.6,60.51055202317029,4.000000000000001,2.245455360605736,1.4000000000000001,8,25.676817089968036,54.82789876215036,60.514663914711896,60.514663914711896
ANY_387_View1,0.0,,0.0,8.0,,,,,,,
ANY_387_View2,1.6309998092722418,3.9000000000000004,8.919068508692355,5.9,0.08988508549473506,1.2000000000000002,12,3.1179017355288643,7.687211277602822,8.805480716896364,8.805480716896364
ANY_372,7.921490882040226,3.5,38.29206640396224,5.5,0.6823447055942216,1.0,11,15.076070109519122,33.610539974996684,37.88160785156954,37.88160785156954
ANY_344,18.182159423828125,2.0,36.06676738626142,2.0,2.8092025313701754,0.0,6,4.799756030016368,14.52202273293894,28.80756614850822,36.06676738626142
ANY_363,9.079429598974025,5.6000000000000005,9.71606775627743,0.10000000000000053,3.9577580057573973,1.2000000000000002,17,0.0,0.08514323116800594,0.08514323116800594,0.19268516281524167
ANY_124,22.772285899647024,2.4000000000000004,53.44110955659681,2.4000000000000004,3.1361325782847547,1.1,7,19.234790938999403,41.08582048624582,52.10087714895087,53.408300002594665
ANY_398_View1,6.202821408392057,2.9000000000000004,17.36721461629958,3.9000000000000004,0.922619596632211,1.1,9,7.338887294114896,15.169873955886949,17.362684738516407,17.362684738516407
ANY_398_View2,10.349313950366422,2.7,29.69049425881158,3.8000000000000007,0.6668388311793987,0.6000000000000001,8,10.341649721713608,24.03861590656355,29.276189957231423,29.276189957231423
ANY_117,4.343531878809831,1.8,11.822531708243138,2.9000000000000004,1.0089767328572175,1.0,5,4.790807931731729,9.257362100431768,11.879206062233854,11.879206062233854
ANY_318_View1,,,,,,,,,,,
ANY_318_View2,,,,,,,,,,,
ANY_164,17.704852805101908,1.4000000000000001,40.10653470564349,1.1,3.311701192308022,0.6000000000000001,4,3.4950838608873918,13.408809735382716,18.351191763588794,21.271304948541797
